Designator,Footprint,Quantity,Value,LCSC Part #
ANT2,ANTC3216X140N,1,RFANT3216120A5T,C127629
BT1,BAT_BAT-HLD-001,1,BAT-HLD-001,C964831
"Boot1, Reset1",OwnSwitch,2,SW_Push,C2888954
"C1, C11, C17, C23, C24, C3, C6, C7",0402,8,100n,C1525
"C10, C13, C19, C20, C21, C22, C25",0402,7,10u,C315248
"C12, C18, C2, C27, C4, C5, C8, C9",0402,8,1u,C52923
C14,0402,1,1.2p,C1551
"C15, C16",0402,2,8p,C1578
C26,0402,1,1.8p,C76903
D1,0201,1,LED,C3646921
"D2, D4, D5, D7, D8",SOD2512X110N,5,NSR0320MW2T1G,C48192
J2,USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A,1,USB_C_Receptacle_USB2.0_16P,C319148
L1,0402,1,2n,C18216
L2,0402,1,2.4n,C275281
L3,0402,1,24n,C74301
Q4,SOT95P230X110-3N,1,2N7002NXAKR,C551416
"R1, R9",0201,2,1k,C25519
"R10, R11, R12, R13, R15, R4, R5, R7",0201,8,100k,C102685
"R14, R2",0402,2,220k,C25767
R3,0201,1,10k,C473048
"R6, R8",0201,2,5.1k,C274341
U1,IC_ESP32-S3,1,ESP32-S3,C2913196
U2,DQN0004A-MFG,1,C5220177,C5220177
U3,OwnMIcrophone,1,~,C7587901
U4,TSSOP-14_TPK-L,1,TP6004-TR,C248577
U6,SON65P300X300X100-9N,1,TPS2113ADRBR,C354512
Y2,XTAL_CC7V-T1A-32.768KHZ-9PF-20PPM-TA-QC,1,CC7V-T1A-32.768KHZ-9PF-20PPM-TA-QC,C337577
Y3,ECS_ECS-120-10-36Q-DS-TR,1,Crystal_GND24,C387435
